"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","2","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureLambdaIssueTest","allureLambdaIssueTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","3","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureHTMLDescriptionTest","allureHTMLDescriptionTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureSimpleDescriptionTest","allureSimpleDescriptionTest()","simple test description, 
new line ignored"
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","allure suite 2","","io.qameta.allure.examples.AllureSuiteTest","allureSuite2Test","allureSuite2Test()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","33","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureAttachmentAnnotationTest","allureAttachmentAnnotationTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureFeatureMappingTest","allureFeatureMappingTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureAnnotationLinkTest","allureAnnotationLinkTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","44","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","allureLabelTest","allureLabelTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureBehaviorsMappingTest","allureBehaviorsMappingTest()",""
"passed","Thu Oct 01 04:46:53 GMT 2020","Thu Oct 01 04:46:53 GMT 2020","7","","io.qameta.allure.examples.AllureLambdaStepTest","","io.qameta.allure.examples.AllureLambdaStepTest","allureLambdaStepTest","allureLambdaStepTest()",""
"passed","Thu Oct 01 04:46:53 GMT 2020","Thu Oct 01 04:46:53 GMT 2020","17","","io.qameta.allure.examples.AllureAnnotationStepTest","","io.qameta.allure.examples.AllureAnnotationStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureStoryMappingTest","allureStoryMappingTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureLambdaLinkTest","allureLambdaLinkTest()",""
"passed","Thu Oct 01 04:46:53 GMT 2020","Thu Oct 01 04:46:53 GMT 2020","3","","io.qameta.allure.examples.AllureLambdaStepTest","","io.qameta.allure.examples.AllureLambdaStepTest","allureSimpleStepTest","allureSimpleStepTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","Suite from lambda annotation","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaSuiteTest","allureLambdaSuiteTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureAnnotationTMSTest","allureAnnotationTMSTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureAnnotationIssueTest","allureAnnotationIssueTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","4","","io.qameta.allure.examples.AllureTestParametersTest","","io.qameta.allure.examples.AllureTestParametersTest","allureTestParametersTest","allureTestParametersTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureEpicMappingTest","allureEpicMappingTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","6","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureSimpleAttachmentTest","allureSimpleAttachmentTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","0","","allure suite 1","","io.qameta.allure.examples.AllureSuiteTest","allureSuiteTest","allureSuiteTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureTestParametersTest","","io.qameta.allure.examples.AllureTestParametersTest","allureOneTestParameterTest","allureOneTestParameterTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureLambdaTMSTest","allureLambdaTMSTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","2","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureOneParamLinkTest","allureOneParamLinkTest()",""
"passed","Thu Oct 01 04:46:52 GMT 2020","Thu Oct 01 04:46:52 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaBehaviorsMappingTest","allureLambdaBehaviorsMappingTest()",""
