"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","9","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureSimpleAttachmentTest","allureSimpleAttachmentTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","1","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureSimpleDescriptionTest","allureSimpleDescriptionTest()","simple test description, 
new line ignored"
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","2","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureEpicMappingTest","allureEpicMappingTest()",""
"passed","Thu Sep 17 13:28:03 GMT 2020","Thu Sep 17 13:28:03 GMT 2020","35","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureSimpleStepTest","allureSimpleStepTest()",""
"passed","Thu Sep 17 13:28:03 GMT 2020","Thu Sep 17 13:28:03 GMT 2020","29","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","18","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureAttachmentAnnotationTest","allureAttachmentAnnotationTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureBehaviorsMappingTest","allureBehaviorsMappingTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","1","","io.qameta.allure.examples.AllureTestParametersTest","","io.qameta.allure.examples.AllureTestParametersTest","allureOneTestParameterTest","allureOneTestParameterTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","2","","Suite from lambda annotation","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaSuiteTest","allureLambdaSuiteTest()",""
"passed","Thu Sep 17 13:28:03 GMT 2020","Thu Sep 17 13:28:03 GMT 2020","2","","io.qameta.allure.examples.AllureTestParametersTest","","io.qameta.allure.examples.AllureTestParametersTest","allureTestParametersTest","allureTestParametersTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","1","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureHTMLDescriptionTest","allureHTMLDescriptionTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","2","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaBehaviorsMappingTest","allureLambdaBehaviorsMappingTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureStoryMappingTest","allureStoryMappingTest()",""
"passed","Thu Sep 17 13:28:04 GMT 2020","Thu Sep 17 13:28:04 GMT 2020","2","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureFeatureMappingTest","allureFeatureMappingTest()",""
"passed","Thu Sep 17 13:28:03 GMT 2020","Thu Sep 17 13:28:03 GMT 2020","9","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureLambdaStepTest","allureLambdaStepTest()",""
