"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 15 14:19:24 GMT 2020","Tue Sep 15 14:19:24 GMT 2020","7","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureLambdaStepTest","allureLambdaStepTest()",""
"passed","Tue Sep 15 14:19:24 GMT 2020","Tue Sep 15 14:19:24 GMT 2020","39","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureSimpleStepTest","allureSimpleStepTest()",""
"passed","Tue Sep 15 14:19:24 GMT 2020","Tue Sep 15 14:19:24 GMT 2020","5","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureSimpleAttachmentTest","allureSimpleAttachmentTest()",""
"passed","Tue Sep 15 14:19:24 GMT 2020","Tue Sep 15 14:19:24 GMT 2020","21","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureAttachmentAnnotationTest","allureAttachmentAnnotationTest()",""
"passed","Tue Sep 15 14:19:24 GMT 2020","Tue Sep 15 14:19:24 GMT 2020","23","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
