"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","2","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureHTMLDescriptionTest","allureHTMLDescriptionTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureBehaviorsMappingTest","allureBehaviorsMappingTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureLambdaIssueTest","allureLambdaIssueTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureAnnotationTMSTest","allureAnnotationTMSTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","5","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureSimpleAttachmentTest","allureSimpleAttachmentTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","26","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureAttachmentAnnotationTest","allureAttachmentAnnotationTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","io.qameta.allure.examples.AllureTestDescriptionTest","","io.qameta.allure.examples.AllureTestDescriptionTest","allureSimpleDescriptionTest","allureSimpleDescriptionTest()","simple test description, 
new line ignored"
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureStoryMappingTest","allureStoryMappingTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","3","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureFeatureMappingTest","allureFeatureMappingTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureAnnotationIssueTest","allureAnnotationIssueTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","allure suite 2","","io.qameta.allure.examples.AllureSuiteTest","allureSuite2Test","allureSuite2Test()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaBehaviorsMappingTest","allureLambdaBehaviorsMappingTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","28","","io.qameta.allure.examples.AllureLabelsTest","","io.qameta.allure.examples.AllureLabelsTest","allureLabelTest","allureLabelTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","1","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureEpicMappingTest","allureEpicMappingTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","Suite from lambda annotation","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaSuiteTest","allureLambdaSuiteTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","14","","io.qameta.allure.examples.AllureAnnotationStepTest","","io.qameta.allure.examples.AllureAnnotationStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","6","","io.qameta.allure.examples.AllureTestParametersTest","","io.qameta.allure.examples.AllureTestParametersTest","allureTestParametersTest","allureTestParametersTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","1","","io.qameta.allure.examples.AllureLinksTest","","io.qameta.allure.examples.AllureLinksTest","allureLambdaLinkTest","allureLambdaLinkTest()",""
"passed","Fri Sep 18 10:23:37 GMT 2020","Fri Sep 18 10:23:37 GMT 2020","0","","allure suite 1","","io.qameta.allure.examples.AllureSuiteTest","allureSuiteTest","allureSuiteTest()",""
